id,sex,bdate,has_photo,has_mobile,followers_count,graduation,education_form,relation,education_status,langs,life_main,people_main,last_seen,occupation_type,career_start,career_end,result
64100,2,23.4.1990,1,1.0,150.0,2012.0,Full-time,2.0,Student (Specialist),Українська;English,0,0,2020-08-19 20:47:43,university,False,False,0
46851,2,11.4,0,1.0,92.0,2011.0,Distance Learning,4.0,Alumnus (Specialist),Українська,0,0,2020-12-25 10:31:53,university,False,False,0
13159,2,5.10,0,1.0,62.0,2012.0,Full-time,0.0,Alumnus (Specialist),Українська,0,6,2020-03-06 03:37:47,university,False,False,0
59148,1,1.3.1967,0,1.0,179.0,1989.0,Full-time,4.0,PhD,Українська,False,False,2020-10-10 18:06:27,university,False,False,0
46429,2,,0,1.0,74.0,2008.0,Full-time,7.0,Alumnus (Specialist),Українська,3,2,2020-01-03 03:34:09,university,False,False,0
58719,1,13.2,0,1.0,142.0,2009.0,,0.0,Alumnus (Specialist),False,0,0,2020-05-07 14:36:26,work,2010,False,1
48095,1,31.10,0,1.0,751.0,2021.0,,0.0,Student (Bachelor's),Українська,0,0,2020-04-11 08:47:01,university,2018,False,1
4093,2,1.5.1990,0,1.0,112.0,2014.0,Distance Learning,4.0,PhD,Українська,1,2,2020-11-26 16:03:50,university,2010,2015,0
63172,1,6.6.1990,1,1.0,318.0,2012.0,Full-time,4.0,Student (Bachelor's),False,0,0,2020-03-21 18:05:54,work,2007,False,1
63848,1,2.10,1,1.0,294.0,2018.0,Distance Learning,0.0,Student (Specialist),Українська,False,False,2020-12-22 10:06:14,university,False,False,1
66760,1,31.1.1990,0,1.0,77.0,2011.0,Full-time,1.0,Student (Bachelor's),False,0,0,2020-07-04 19:59:45,university,False,False,1
4682,2,20.6,1,1.0,23.0,2007.0,Distance Learning,4.0,Alumnus (Specialist),Українська,0,0,2020-12-14 10:30:06,university,False,False,0
81358,1,11.6,1,1.0,3148.0,2010.0,Part-time,6.0,Alumnus (Specialist),Українська,0,0,2020-04-23 11:37:54,work,2007,False,1
2,2,15.3.1985,1,1.0,86.0,2010.0,Full-time,4.0,Student (Specialist),False,False,False,2020-11-07 20:03:54,university,False,False,0
17951,2,,0,1.0,89.0,2013.0,Full-time,4.0,Student (Bachelor's),Українська;English;Русский,6,2,2020-09-19 03:03:28,university,False,False,0
64151,2,22.3,1,1.0,243.0,2018.0,Distance Learning,0.0,Student (Specialist),False,0,0,2020-03-14 20:58:39,university,False,False,0
62802,2,4.11.1993,1,1.0,322.0,2015.0,Part-time,4.0,Student (Bachelor's),Українська,0,2,2020-05-13 16:32:00,university,False,False,0
1865,2,13.4.1987,0,1.0,212.0,2010.0,Full-time,0.0,Alumnus (Specialist),False,False,False,2020-04-21 01:08:09,university,False,False,0
50575,2,18.5.1983,0,1.0,62.0,2006.0,Full-time,4.0,Alumnus (Specialist),Українська,5,2,2020-12-14 23:15:16,university,2007,2011,0
19315,2,21.11,1,1.0,86.0,1986.0,Full-time,1.0,Alumnus (Specialist),Українська,0,0,2020-01-30 00:32:16,work,1980,False,0
64317,2,7.10,1,1.0,76.0,2007.0,Distance Learning,1.0,Alumnus (Specialist),Українська,False,False,2020-12-17 07:31:45,university,False,False,0
31338,2,25.1,1,1.0,68.0,2011.0,Full-time,4.0,Alumnus (Specialist),False,0,0,2020-08-31 23:25:41,work,2006,False,0
97656,1,9.7,0,1.0,606.0,2014.0,Full-time,0.0,Alumnus (Master's),False,False,False,2020-03-19 23:15:27,university,False,False,1
10885,1,,1,1.0,172.0,2012.0,Full-time,0.0,Student (Specialist),Українська,0,2,2020-11-16 19:26:06,university,False,False,1
94635,2,16.12.1983,0,1.0,69.0,2005.0,Full-time,4.0,Alumnus (Specialist),Українська,0,0,2020-02-04 02:22:18,university,False,False,1
58985,1,14.8.1985,1,1.0,369.0,2007.0,Full-time,0.0,Alumnus (Specialist),False,False,False,2020-02-27 23:27:19,work,2008,False,1
24011,2,7.8,0,1.0,588.0,2011.0,Distance Learning,4.0,Alumnus (Specialist),Українська;Саха тыла,1,5,2020-01-29 06:07:42,work,2007,False,0
8294,2,20.4.1989,1,1.0,217.0,2011.0,Distance Learning,0.0,Alumnus (Bachelor's),Українська;Русский;English,6,2,2020-12-02 21:12:43,work,2009,False,0
65685,1,9.7.1981,0,1.0,2837.0,2006.0,Distance Learning,4.0,Alumnus (Specialist),Українська,False,False,2020-02-16 07:58:51,work,2000,False,1
35159,2,,0,1.0,954.0,2015.0,Full-time,4.0,Student (Specialist),Українська,1,5,2020-05-25 10:33:35,university,False,False,1
12196,1,3.12.1992,0,1.0,276.0,2017.0,Full-time,0.0,Student (Master's),False,0,0,2020-09-24 21:12:45,university,False,False,1
22852,2,29.6.1989,0,1.0,64.0,2010.0,Full-time,1.0,Alumnus (Specialist),Українська;Русский;English,0,0,2020-03-06 14:32:48,work,2014,False,1
7360,2,21.12,1,1.0,213.0,0.0,Full-time,4.0,Student (Master's),Українська,1,2,2020-04-01 02:37:01,university,False,False,0
8124,2,26.4.1955,0,1.0,0.0,1981.0,Full-time,0.0,Alumnus (Specialist),Українська,False,False,2020-03-01 17:07:35,university,1984,2009,1
76884,1,27.9,1,1.0,476.0,0.0,Full-time,0.0,Student (Specialist),Українська;English,False,False,2020-10-20 16:55:00,university,False,False,1
73194,2,,0,1.0,305.0,2013.0,Full-time,6.0,Student (Specialist),Українська,6,0,2020-10-31 09:20:41,university,False,False,0
